cache_line	l1d_Size	l1d_Assoc	l1i_Size	l1i_Assoc	l2_Size	l2_Assoc	leakage	dynamic	runtime	energy	Area	Peak_Power
64	64kB	4	128kB	2	2MB	8	1,568680	0,370733	0,057753	112,006919	19,6233	5,13731
64	64kB	4	128kB	4	2MB	8	1,312470	0,370121	0,057753	97,174678	20,6404	4,92847
64	64kB	4	128kB	8	2MB	8	1,117660	0,370123	0,057753	85,923932	17,5866	4,95196
64	64kB	4	32kB	2	2MB	8	0,878176	0,349724	0,064933	79,731231	14,818	3,59803
64	64kB	4	32kB	4	2MB	8	0,957426	0,370701	0,057759	76,711287	15,5813	4,00347
64	64kB	4	32kB	8	2MB	8	1,001630	0,370702	0,057759	79,264524	16,4274	4,35893
64	64kB	4	64kB	2	2MB	8	1,283060	0,370621	0,057772	95,536459	17,2098	4,59736
64	64kB	4	64kB	4	2MB	8	1,007970	0,370731	0,057753	79,624119	16,1765	4,29417
64	64kB	4	64kB	8	2MB	8	1,028630	0,370123	0,057753	80,782182	16,4498	4,44645
